
																Status
																------

GUIDELINES:
	PENDING = _______
	TESTING = #FFD700
	WAITING = #C947F5
	OFFERED = #add8e6 
	HIRED   = #228B22
	DECLINE = #FF0000

   Name              			Status
----------- 					--------
Apple							Pending
Google			    			Pending
Amazon							TESTING #FFD700
AWS								Pending
Microsoft						Pending
Facebook						Pending
Oracle							Pending
Telsa							Pending
Spotify							Pending
Paypal							Pending
Twitch							Pending
Nvidia							Pending
Playstation						Pending
DropBox							Pending
Cisco							WAITING #C947F5
IBM								WAITING #C947F5
MongoDB							Pending
Duolingo						Pending
Qualcomm						Pending
Master Card						Pending
Walmart							Pending
Epic Games						Pending
MagView							WAITING #C947F5
Repl.it							Pending
Celo							Pending
Shopify							Pending
Coakroach Labs					Pending #FF0000
Etsy							Pending
Yext							Pending 
CoinBase						Pending #FF0000
Bubble							Pending
CareerUp						Pending
Paetron							Pending
Sage Corps						DECLINE #add8e6 -> #FF0000 (I Declined)
Stripe							TESTING #FFD700
SquareSpace						Pending
Uber							Pending
Collins Aerospace				Pending
Rubrik 							Pending
Slack							Pending
Indeed							Pending
